random_id,participant_id,condition,first_question_page,Q0,Q1,Q2,Q3,age,gender,manipulation_check_question_order,justin_question_order,nate_question_order,likert_question,likert_response
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",manipulation_check_nate,6
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",manipulation_check_justin,6
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.far,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.standards,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.certain,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.reservations,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.conflicted,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.deep,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.principles,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.calm,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",justin.upset,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.far,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.standards,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.certain,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.reservations,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.conflicted,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.deep,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.principles,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.calm,7
p0d5bav9bo7,1234,moral,justin,,,NA,NA,20,Female,"[0,1]","[3,6,2,1,0,5,4,7,8]","[3,2,6,0,7,4,5,8,1]",nate.upset,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",manipulation_check_nate,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",manipulation_check_justin,4
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.far,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.standards,6
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.certain,2
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.reservations,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.conflicted,2
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.deep,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.principles,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.calm,7
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",justin.upset,2
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",nate.far,3
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",nate.standards,6
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",nate.certain,2
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",nate.reservations,5
p0g1u7gdoco,cheetah,moral,nate,I think it was about judging moral character based on two different reactions to the same scenario. making extrapolations about what I think of these non-existent people.,Justin,Because I would consider both options before making a decision. I would do the same and return the wallet but it would for sure cross my mind and think about maybe take a 100 or 2.,none,24,Male,"[1,0]","[6,3,4,2,1,8,7,0,5]","[6,0,4,5,8,1,3,2,7]",nate.conflicted,7
